index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
21	t ɹ aɪ	t ɹ aɪ d	try	tried	⋊ t ɹ a ɪ ⋉	⋊ t ɹ a ɪ d ⋉
22	m i n	m ɛ n t	mean	meant	⋊ m i n ⋉	⋊ m ɛ n t ⋉
23	k ɔ l	k ɔ l d	call	called	⋊ k ɔ l ⋉	⋊ k ɔ l d ⋉
24	b ɪ g ɪ n	b ɪ g æ n	begin	began	⋊ b ɪ g ɪ n ⋉	⋊ b ɪ g ɑ n ⋉
25	k i p	k ɛ p t	keep	kept	⋊ k i p ⋉	⋊ k ɛ p t ⋉
26	t ɚ n	t ɚ n d	turn	turned	⋊ t ɛ ɹ n ⋉	⋊ t ɛ ɹ n d ⋉
27	n i d	n i d ə d	need	needed	⋊ n i d ⋉	⋊ n i d ɪ d ⋉
28	w ɚ k	w ɚ k t	work	worked	⋊ w ɛ ɹ k ⋉	⋊ w ɛ ɹ k t ⋉
29	l ɪ v	l ɪ v d	live	lived	⋊ l ɪ v ⋉	⋊ l ɪ v d ⋉
30	b ɹ ɪ ŋ	b ɹ ɔ t	bring	brought	⋊ b ɹ ɪ ŋ ⋉	⋊ b ɹ ɔ t ⋉
31	t ɔ k	t ɔ k t	talk	talked	⋊ t ɔ k ⋉	⋊ t ɔ k t ⋉
32	h i ɹ	h ɚ d	hear	heard	⋊ h i ɹ ⋉	⋊ h ɛ ɹ d ⋉
33	s ɪ t	s æ t	sit	sat	⋊ s ɪ t ⋉	⋊ s ɑ t ⋉
34	ʃ oʊ	ʃ oʊ d	show	showed	⋊ ʃ o ⋉	⋊ ʃ o d ⋉
35	s t æ n d	s t ʊ d	stand	stood	⋊ s t ɑ n d ⋉	⋊ s t ʊ d ⋉
36	h oʊ l d	h ɛ l d	hold	held	⋊ h o l d ⋉	⋊ h ɛ l d ⋉
37	ɹ aɪ t	ɹ oʊ t	write	wrote	⋊ ɹ a ɪ t ⋉	⋊ ɹ o t ⋉
38	tʃ eɪ n dʒ	tʃ eɪ n dʒ d	change	changed	⋊ t ʃ e n d ʒ ⋉	⋊ t ʃ e n d ʒ d ⋉
39	s t a ɹ t	s t a ɹ t ə d	start	started	⋊ s t a ɹ t ⋉	⋊ s t a ɹ t ɪ d ⋉
40	ɹ ʌ n	ɹ æ n	run	ran	⋊ ɹ ʌ n ⋉	⋊ ɹ ɑ n ⋉
41	h æ p ə n	h æ p ə n d	happen	happened	⋊ h ɑ p ə n ⋉	⋊ h ɑ p ə n d ⋉
42	l ɛ t	l ɛ t	let		⋊ l ɛ t ⋉	⋊ l ɛ t ⋉
43	m u v	m u v d	move	moved	⋊ m u v ⋉	⋊ m u v d ⋉
44	b ə l i v	b ə l i v d	believe	believed	⋊ b ə l i v ⋉	⋊ b ə l i v d ⋉
45	p l eɪ	p l eɪ d	play	played	⋊ p l e ⋉	⋊ p l e d ⋉
46	h ɛ l p	h ɛ l p t	help	helped	⋊ h ɛ l p ⋉	⋊ h ɛ l p t ⋉
47	ɹ i d	ɹ ɛ d	read		⋊ ɹ i d ⋉	⋊ ɹ ɛ d ⋉
48	s p i k	s p oʊ k	speak	spoke	⋊ s p i k ⋉	⋊ s p o k ⋉
49	ɹ ɪ m ɛ m b ɚ	ɹ ɪ m ɛ m b ɚ d	remember	remembered	⋊ ɹ ɪ m ɛ m b ɛ ɹ ⋉	⋊ ɹ ɪ m ɛ m b ɛ ɹ d ⋉
50	p eɪ	p eɪ d	pay	paid	⋊ p e ⋉	⋊ p e d ⋉
51	g ɹ oʊ	g ɹ u	grow	grew	⋊ g ɹ o ⋉	⋊ g ɹ u ⋉
52	l u z	l ɔ s t	lose	lost	⋊ l u z ⋉	⋊ l ɔ s t ⋉
53	s t a p	s t a p t	stop	stopped	⋊ s t a p ⋉	⋊ s t a p t ⋉
54	l aɪ k	l aɪ k t	like	liked	⋊ l a ɪ k ⋉	⋊ l a ɪ k t ⋉
55	w eɪ t	w eɪ t ə d	wait	waited	⋊ w e t ⋉	⋊ w e t ɪ d ⋉
56	s ɛ t	s ɛ t	set		⋊ s ɛ t ⋉	⋊ s ɛ t ⋉
57	k eɪ ɹ i	k eɪ ɹ i d	carry	carried	⋊ k e ɹ i ⋉	⋊ k e ɹ i d ⋉
58	w ɔ k	w ɔ k t	walk	walked	⋊ w ɔ k ⋉	⋊ w ɔ k t ⋉
59	l ɚ n	l ɚ n d	learn	learned	⋊ l ɛ ɹ n ⋉	⋊ l ɛ ɹ n d ⋉
60	l ɚ n	l ɚ n t	learn	learnt	⋊ l ɛ ɹ n ⋉	⋊ l ɛ ɹ n t ⋉
61	l aɪ	l eɪ	lie	lay	⋊ l a ɪ ⋉	⋊ l e ⋉
62	f a l oʊ	f a l oʊ d	follow	followed	⋊ f a l o ⋉	⋊ f a l o d ⋉
63	l i d	l ɛ d	lead	led	⋊ l i d ⋉	⋊ l ɛ d ⋉
64	f ɔ l	f ɛ l	fall	fell	⋊ f ɔ l ⋉	⋊ f ɛ l ⋉
65	ə p i ɹ	ə p i ɹ d	appear	appeared	⋊ ə p i ɹ ⋉	⋊ ə p i ɹ d ⋉
66	ʌ n d ɚ s t æ n d	ʌ n d ɚ s t ʊ d	understand	understood	⋊ ʌ n d ɛ ɹ s t ɑ n d ⋉	⋊ ʌ n d ɛ ɹ s t ʊ d ⋉
67	i t	eɪ t	eat	ate	⋊ i t ⋉	⋊ e t ⋉
68	ɪ k s p ɛ k t	ɪ k s p ɛ k t ə d	expect	expected	⋊ ɪ k s p ɛ k t ⋉	⋊ ɪ k s p ɛ k t ɪ d ⋉
69	s p ɛ n d	s p ɛ n t	spend	spent	⋊ s p ɛ n d ⋉	⋊ s p ɛ n t ⋉
70	s ɛ n d	s ɛ n t	send	sent	⋊ s ɛ n d ⋉	⋊ s ɛ n t ⋉
71	ə l aʊ	ə l aʊ d	allow	allowed	⋊ ə l a ʊ ⋉	⋊ ə l a ʊ d ⋉
72	k ə n t ɪ n j u	k ə n t ɪ n j u d	continue	continued	⋊ k ə n t ɪ n j u ⋉	⋊ k ə n t ɪ n j u d ⋉
73	ɹ ɪ m eɪ n	ɹ ɪ m eɪ n d	remain	remained	⋊ ɹ ɪ m e n ⋉	⋊ ɹ ɪ m e n d ⋉
74	p æ s	p æ s t	pass	passed	⋊ p ɑ s ⋉	⋊ p ɑ s t ⋉
75	p ɹ ə v aɪ d	p ɹ ə v aɪ d ə d	provide	provided	⋊ p ɹ ə v a ɪ d ⋉	⋊ p ɹ ə v a ɪ d ɪ d ⋉
76	b aɪ	b ɔ t	buy	bought	⋊ b a ɪ ⋉	⋊ b ɔ t ⋉
77	ɹ i tʃ	ɹ i tʃ t	reach	reached	⋊ ɹ i t ʃ ⋉	⋊ ɹ i t ʃ t ⋉
78	d ɪ v ɛ l ə p	d ɪ v ɛ l ə p t	develop	developed	⋊ d ɪ v ɛ l ə p ⋉	⋊ d ɪ v ɛ l ə p t ⋉
79	s t eɪ	s t eɪ d	stay	stayed	⋊ s t e ⋉	⋊ s t e d ⋉
80	w a tʃ	w a tʃ t	watch	watched	⋊ w a t ʃ ⋉	⋊ w a t ʃ t ⋉
81	d ɪ s aɪ d	d ɪ s aɪ d ə d	decide	decided	⋊ d ɪ s a ɪ d ⋉	⋊ d ɪ s a ɪ d ɪ d ⋉
82	p ɹ ə d u s	p ɹ ə d u s t	produce	produced	⋊ p ɹ ə d u s ⋉	⋊ p ɹ ə d u s t ⋉
83	w eɪ ɹ	w oʊ ɹ	wear	wore	⋊ w e ɹ ⋉	⋊ w o ɹ ⋉
84	b ɪ l d	b ɪ l t	build	built	⋊ b ɪ l d ⋉	⋊ b ɪ l t ⋉
85	d aɪ	d aɪ d	die	died	⋊ d a ɪ ⋉	⋊ d a ɪ d ⋉
86	l ʌ v	l ʌ v d	love	loved	⋊ l ʌ v ⋉	⋊ l ʌ v d ⋉
87	æ d	æ d ə d	add	added	⋊ ɑ d ⋉	⋊ ɑ d ɪ d ⋉
88	m i t	m ɛ t	meet	met	⋊ m i t ⋉	⋊ m ɛ t ⋉
89	ɪ n k ɹ i s	ɪ n k ɹ i s t	increase	increased	⋊ ɪ n k ɹ i s ⋉	⋊ ɪ n k ɹ i s t ⋉
90	oʊ p ə n	oʊ p ə n d	open	opened	⋊ o p ə n ⋉	⋊ o p ə n d ⋉
91	s ə g dʒ ɛ s t	s ə g dʒ ɛ s t ə d	suggest	suggested	⋊ s ə g d ʒ ɛ s t ⋉	⋊ s ə g d ʒ ɛ s t ɪ d ⋉
92	b ɹ eɪ k	b ɹ oʊ k	break	broke	⋊ b ɹ e k ⋉	⋊ b ɹ o k ⋉
93	h oʊ p	h oʊ p t	hope	hoped	⋊ h o p ⋉	⋊ h o p t ⋉
94	s ə p oʊ z	s ə p oʊ z d	suppose	supposed	⋊ s ə p o z ⋉	⋊ s ə p o z d ⋉
95	ɹ ɪ t ɚ n	ɹ ɪ t ɚ n d	return	returned	⋊ ɹ ɪ t ɛ ɹ n ⋉	⋊ ɹ ɪ t ɛ ɹ n d ⋉
96	d ɹ aɪ v	d ɹ oʊ v	drive	drove	⋊ d ɹ a ɪ v ⋉	⋊ d ɹ o v ⋉
97	d ɹ ɔ	d ɹ u	draw	drew	⋊ d ɹ ɔ ⋉	⋊ d ɹ u ⋉
98	ɪ n v a l v	ɪ n v a l v d	involve	involved	⋊ ɪ n v a l v ⋉	⋊ ɪ n v a l v d ⋉
99	k ɪ l	k ɪ l d	kill	killed	⋊ k ɪ l ⋉	⋊ k ɪ l d ⋉
100	k ə n s ɪ d ɚ	k ə n s ɪ d ɚ d	consider	considered	⋊ k ə n s ɪ d ɛ ɹ ⋉	⋊ k ə n s ɪ d ɛ ɹ d ⋉
101	ə k s ɛ p t	ə k s ɛ p t ə d	accept	accepted	⋊ ə k s ɛ p t ⋉	⋊ ə k s ɛ p t ɪ d ⋉
102	ɔ f ɚ	ɔ f ɚ d	offer	offered	⋊ ɔ f ɛ ɹ ⋉	⋊ ɔ f ɛ ɹ d ⋉
103	ɹ i ə l aɪ z	ɹ i ə l aɪ z d	realize	realized	⋊ ɹ i ə l a ɪ z ⋉	⋊ ɹ i ə l a ɪ z d ⋉
104	ɪ k s p l eɪ n	ɪ k s p l eɪ n d	explain	explained	⋊ ɪ k s p l e n ⋉	⋊ ɪ k s p l e n d ⋉
105	ɹ aɪ z	ɹ oʊ z	rise	rose	⋊ ɹ a ɪ z ⋉	⋊ ɹ o z ⋉
106	k æ tʃ	k ɔ t	catch	caught	⋊ k ɑ t ʃ ⋉	⋊ k ɔ t ⋉
107	ə g ɹ i	ə g ɹ i d	agree	agreed	⋊ ə g ɹ i ⋉	⋊ ə g ɹ i d ⋉
108	k ʌ t	k ʌ t	cut		⋊ k ʌ t ⋉	⋊ k ʌ t ⋉
109	ɹ ɪ k w aɪ ɚ	ɹ ɪ k w aɪ ɚ d	require	required	⋊ ɹ ɪ k w a ɪ ɛ ɹ ⋉	⋊ ɹ ɪ k w a ɪ ɛ ɹ d ⋉
110	p ɪ k	p ɪ k t	pick	picked	⋊ p ɪ k ⋉	⋊ p ɪ k t ⋉
111	w ɪ ʃ	w ɪ ʃ t	wish	wished	⋊ w ɪ ʃ ⋉	⋊ w ɪ ʃ t ⋉
112	p ʊ l	p ʊ l d	pull	pulled	⋊ p ʊ l ⋉	⋊ p ʊ l d ⋉
113	k ʌ v ɚ	k ʌ v ɚ d	cover	covered	⋊ k ʌ v ɛ ɹ ⋉	⋊ k ʌ v ɛ ɹ d ⋉
114	tʃ u z	tʃ oʊ z	choose	chose	⋊ t ʃ u z ⋉	⋊ t ʃ o z ⋉
115	l ɪ s ə n	l ɪ s ə n d	listen	listened	⋊ l ɪ s ə n ⋉	⋊ l ɪ s ə n d ⋉
116	ɹ eɪ z	ɹ eɪ z d	raise	raised	⋊ ɹ e z ⋉	⋊ ɹ e z d ⋉
117	w ʌ n d ɚ	w ʌ n d ɚ d	wonder	wondered	⋊ w ʌ n d ɛ ɹ ⋉	⋊ w ʌ n d ɛ ɹ d ⋉
118	k ɔ z	k ɔ z d	cause	caused	⋊ k ɔ z ⋉	⋊ k ɔ z d ⋉
119	ə ɹ aɪ v	ə ɹ aɪ v d	arrive	arrived	⋊ ə ɹ a ɪ v ⋉	⋊ ə ɹ a ɪ v d ⋉
120	l æ f	l æ f t	laugh	laughed	⋊ l ɑ f ⋉	⋊ l ɑ f t ⋉
121	f ɚ g ɛ t	f ɚ g a t	forget	forgot	⋊ f ɛ ɹ g ɛ t ⋉	⋊ f ɛ ɹ g a t ⋉
122	æ n s ɚ	æ n s ɚ d	answer	answered	⋊ ɑ n s ɛ ɹ ⋉	⋊ ɑ n s ɛ ɹ d ⋉
123	p l æ n	p l æ n d	plan	planned	⋊ p l ɑ n ⋉	⋊ p l ɑ n d ⋉
124	d ɪ s k ɹ aɪ b	d ɪ s k ɹ aɪ b d	describe	described	⋊ d ɪ s k ɹ a ɪ b ⋉	⋊ d ɪ s k ɹ a ɪ b d ⋉
125	s m aɪ l	s m aɪ l d	smile	smiled	⋊ s m a ɪ l ⋉	⋊ s m a ɪ l d ⋉
126	k ɹ i eɪ t	k ɹ i eɪ t ə d	create	created	⋊ k ɹ i e t ⋉	⋊ k ɹ i e t ɪ d ⋉
127	θ ɹ oʊ	θ ɹ u	throw	threw	⋊ θ ɹ o ⋉	⋊ θ ɹ u ⋉
128	ɹ ɪ s i v	ɹ ɪ s i v d	receive	received	⋊ ɹ ɪ s i v ⋉	⋊ ɹ ɪ s i v d ⋉
129	w ɪ n	w ʌ n	win	won	⋊ w ɪ n ⋉	⋊ w ʌ n ⋉
130	p ɹ u v	p ɹ u v d	prove	proved	⋊ p ɹ u v ⋉	⋊ p ɹ u v d ⋉
131	s ɚ v	s ɚ v d	serve	served	⋊ s ɛ ɹ v ⋉	⋊ s ɛ ɹ v d ⋉
132	ɪ n dʒ ɔɪ	ɪ n dʒ ɔɪ d	enjoy	enjoyed	⋊ ɪ n d ʒ ɔ ɪ ⋉	⋊ ɪ n d ʒ ɔ ɪ d ⋉
133	f eɪ l	f eɪ l d	fail	failed	⋊ f e l ⋉	⋊ f e l d ⋉
134	s ɛ l	s oʊ l d	sell	sold	⋊ s ɛ l ⋉	⋊ s o l d ⋉
135	dʒ ɔɪ n	dʒ ɔɪ n d	join	joined	⋊ d ʒ ɔ ɪ n ⋉	⋊ d ʒ ɔ ɪ n d ⋉
136	t i tʃ	t ɔ t	teach	taught	⋊ t i t ʃ ⋉	⋊ t ɔ t ⋉
137	d ɹ a p	d ɹ a p t	drop	dropped	⋊ d ɹ a p ⋉	⋊ d ɹ a p t ⋉
138	f aɪ t	f ɔ t	fight	fought	⋊ f a ɪ t ⋉	⋊ f ɔ t ⋉
139	f oʊ ɹ s	f oʊ ɹ s t	force	forced	⋊ f o ɹ s ⋉	⋊ f o ɹ s t ⋉
140	ɛ n d	ɛ n d ə d	end	ended	⋊ ɛ n d ⋉	⋊ ɛ n d ɪ d ⋉
141	d ɪ s k ʌ v ɚ	d ɪ s k ʌ v ɚ d	discover	discovered	⋊ d ɪ s k ʌ v ɛ ɹ ⋉	⋊ d ɪ s k ʌ v ɛ ɹ d ⋉
142	ɹ ɛ k ə g n aɪ z	ɹ ɛ k ə g n aɪ z d	recognize	recognized	⋊ ɹ ɛ k ə g n a ɪ z ⋉	⋊ ɹ ɛ k ə g n a ɪ z d ⋉
143	f ɪ l	f ɪ l d	fill	filled	⋊ f ɪ l ⋉	⋊ f ɪ l d ⋉
144	f eɪ s	f eɪ s t	face	faced	⋊ f e s ⋉	⋊ f e s t ⋉
145	f i d	f ɛ d	feed	fed	⋊ f i d ⋉	⋊ f ɛ d ⋉
146	ɪ g z ɪ s t	ɪ g z ɪ s t ə d	exist	existed	⋊ ɪ g z ɪ s t ⋉	⋊ ɪ g z ɪ s t ɪ d ⋉
147	p ɔɪ n t	p ɔɪ n t ə d	point	pointed	⋊ p ɔ ɪ n t ⋉	⋊ p ɔ ɪ n t ɪ d ⋉
148	ʃ eɪ k	ʃ ʊ k	shake	shook	⋊ ʃ e k ⋉	⋊ ʃ ʊ k ⋉
149	t ɛ n d	t ɛ n d ə d	tend	tended	⋊ t ɛ n d ⋉	⋊ t ɛ n d ɪ d ⋉
150	n oʊ t ɪ s	n oʊ t ɪ s t	notice	noticed	⋊ n o t ɪ s ⋉	⋊ n o t ɪ s t ⋉
151	d ɹ ɪ ŋ k	d ɹ æ ŋ k	drink	drank	⋊ d ɹ ɪ ŋ k ⋉	⋊ d ɹ ɑ ŋ k ⋉
152	ɛ n t ɚ	ɛ n t ɚ d	enter	entered	⋊ ɛ n t ɛ ɹ ⋉	⋊ ɛ n t ɛ ɹ d ⋉
153	d ɪ s k ʌ s	d ɪ s k ʌ s t	discuss	discussed	⋊ d ɪ s k ʌ s ⋉	⋊ d ɪ s k ʌ s t ⋉
154	s l i p	s l ɛ p t	sleep	slept	⋊ s l i p ⋉	⋊ s l ɛ p t ⋉
155	m æ n ɪ dʒ	m æ n ɪ dʒ d	manage	managed	⋊ m ɑ n ɪ d ʒ ⋉	⋊ m ɑ n ɪ d ʒ d ⋉
156	h æ ŋ	h ʌ ŋ	hang	hung	⋊ h ɑ ŋ ⋉	⋊ h ʌ ŋ ⋉
157	ɪ n k l u d	ɪ n k l u d ə d	include	included	⋊ ɪ n k l u d ⋉	⋊ ɪ n k l u d ɪ d ⋉
158	f oʊ ɹ m	f oʊ ɹ m d	form	formed	⋊ f o ɹ m ⋉	⋊ f o ɹ m d ⋉
159	f ɪ n ɪ ʃ	f ɪ n ɪ ʃ t	finish	finished	⋊ f ɪ n ɪ ʃ ⋉	⋊ f ɪ n ɪ ʃ t ⋉
160	m eɪ ɹ i	m eɪ ɹ i d	marry	married	⋊ m e ɹ i ⋉	⋊ m e ɹ i d ⋉
161	s aʊ n d	s aʊ n d ə d	sound	sounded	⋊ s a ʊ n d ⋉	⋊ s a ʊ n d ɪ d ⋉
162	k ə n t eɪ n	k ə n t eɪ n d	contain	contained	⋊ k ə n t e n ⋉	⋊ k ə n t e n d ⋉
163	p ʊ ʃ	p ʊ ʃ t	push	pushed	⋊ p ʊ ʃ ⋉	⋊ p ʊ ʃ t ⋉
164	ə k ɚ	ə k ɚ d	occur	occurred	⋊ ə k ɛ ɹ ⋉	⋊ ə k ɛ ɹ d ⋉
165	ɪ s t æ b l ɪ ʃ	ɪ s t æ b l ɪ ʃ t	establish	established	⋊ ɪ s t ɑ b l ɪ ʃ ⋉	⋊ ɪ s t ɑ b l ɪ ʃ t ⋉
166	ɪ m æ dʒ ə n	ɪ m æ dʒ ə n d	imagine	imagined	⋊ ɪ m ɑ d ʒ ə n ⋉	⋊ ɪ m ɑ d ʒ ə n d ⋉
167	æ k t	æ k t ə d	act	acted	⋊ ɑ k t ⋉	⋊ ɑ k t ɪ d ⋉
168	s eɪ v	s eɪ v d	save	saved	⋊ s e v ⋉	⋊ s e v d ⋉
169	k eɪ ɹ	k eɪ ɹ d	care	cared	⋊ k e ɹ ⋉	⋊ k e ɹ d ⋉
170	s t eɪ ɹ	s t eɪ ɹ d	stare	stared	⋊ s t e ɹ ⋉	⋊ s t e ɹ d ⋉
171	l eɪ	l eɪ d	lay	laid	⋊ l e ⋉	⋊ l e d ⋉
172	k ɹ aɪ	k ɹ aɪ d	cry	cried	⋊ k ɹ a ɪ ⋉	⋊ k ɹ a ɪ d ⋉
173	k l oʊ z	k l oʊ z d	close	closed	⋊ k l o z ⋉	⋊ k l o z d ⋉
174	s ʌ f ɚ	s ʌ f ɚ d	suffer	suffered	⋊ s ʌ f ɛ ɹ ⋉	⋊ s ʌ f ɛ ɹ d ⋉
175	s i k	s ɔ t	seek	sought	⋊ s i k ⋉	⋊ s ɔ t ⋉
176	ʃ eɪ ɹ	ʃ eɪ ɹ d	share	shared	⋊ ʃ e ɹ ⋉	⋊ ʃ e ɹ d ⋉
177	a ɹ g j u	a ɹ g j u d	argue	argued	⋊ a ɹ g j u ⋉	⋊ a ɹ g j u d ⋉
178	ɹ ɪ d u s	ɹ ɪ d u s t	reduce	reduced	⋊ ɹ ɪ d u s ⋉	⋊ ɹ ɪ d u s t ⋉
179	ə tʃ i v	ə tʃ i v d	achieve	achieved	⋊ ə t ʃ i v ⋉	⋊ ə t ʃ i v d ⋉
180	s ə p oʊ ɹ t	s ə p oʊ ɹ t ə d	support	supported	⋊ s ə p o ɹ t ⋉	⋊ s ə p o ɹ t ɪ d ⋉
181	ə p l aɪ	ə p l aɪ d	apply	applied	⋊ ə p l a ɪ ⋉	⋊ ə p l a ɪ d ⋉
182	s t ʌ d i	s t ʌ d i d	study	studied	⋊ s t ʌ d i ⋉	⋊ s t ʌ d i d ⋉
183	θ æ ŋ k	θ æ ŋ k t	thank	thanked	⋊ θ ɑ ŋ k ⋉	⋊ θ ɑ ŋ k t ⋉
184	ə v ɔɪ d	ə v ɔɪ d ə d	avoid	avoided	⋊ ə v ɔ ɪ d ⋉	⋊ ə v ɔ ɪ d ɪ d ⋉
185	ɹ ɪ f j u z	ɹ ɪ f j u z d	refuse	refused	⋊ ɹ ɪ f j u z ⋉	⋊ ɹ ɪ f j u z d ⋉
186	m ɛ n tʃ ə n	m ɛ n tʃ ə n d	mention	mentioned	⋊ m ɛ n t ʃ ə n ⋉	⋊ m ɛ n t ʃ ə n d ⋉
187	ə k oʊ ɹ d	ə k oʊ ɹ d ə d	accord	accorded	⋊ ə k o ɹ d ⋉	⋊ ə k o ɹ d ɪ d ⋉
188	s t ɹ aɪ k	s t ɹ ʌ k	strike		⋊ s t ɹ a ɪ k ⋉	⋊ s t ɹ ʌ k ⋉
189	v ɪ z ə t	v ɪ z ə t ə d	visit	visited	⋊ v ɪ z ə t ⋉	⋊ v ɪ z ə t ɪ d ⋉
190	ə s u m	ə s u m d	assume	assumed	⋊ ə s u m ⋉	⋊ ə s u m d ⋉
191	t ʌ tʃ	t ʌ tʃ t	touch	touched	⋊ t ʌ t ʃ ⋉	⋊ t ʌ t ʃ t ⋉
192	ɪ n k ɚ ɪ dʒ	ɪ n k ɚ ɪ dʒ d	encourage	encouraged	⋊ ɪ n k ɛ ɹ ɪ d ʒ ⋉	⋊ ɪ n k ɛ ɹ ɪ d ʒ d ⋉
193	b eɪ ɹ	b oʊ ɹ	bear	bore	⋊ b e ɹ ⋉	⋊ b o ɹ ⋉
194	ɹ ɪ p oʊ ɹ t	ɹ ɪ p oʊ ɹ t ə d	report	reported	⋊ ɹ ɪ p o ɹ t ⋉	⋊ ɹ ɪ p o ɹ t ɪ d ⋉
195	ɪ k s p ɹ ɛ s	ɪ k s p ɹ ɛ s t	express	expressed	⋊ ɪ k s p ɹ ɛ s ⋉	⋊ ɪ k s p ɹ ɛ s t ⋉
196	d i l	d ɛ l t	deal	dealt	⋊ d i l ⋉	⋊ d ɛ l t ⋉
197	ɹ ɪ m u v	ɹ ɪ m u v d	remove	removed	⋊ ɹ ɪ m u v ⋉	⋊ ɹ ɪ m u v d ⋉
198	d ɪ s t ɹ ɔɪ	d ɪ s t ɹ ɔɪ d	destroy	destroyed	⋊ d ɪ s t ɹ ɔ ɪ ⋉	⋊ d ɪ s t ɹ ɔ ɪ d ⋉
199	ɹ ɪ g a ɹ d	ɹ ɪ g a ɹ d ə d	regard	regarded	⋊ ɹ ɪ g a ɹ d ⋉	⋊ ɹ ɪ g a ɹ d ɪ d ⋉
200	ɹ ɛ p ɹ ɪ z ɛ n t	ɹ ɛ p ɹ ɪ z ɛ n t ə d	represent	represented	⋊ ɹ ɛ p ɹ ɪ z ɛ n t ⋉	⋊ ɹ ɛ p ɹ ɪ z ɛ n t ɪ d ⋉
201	h aɪ d	h ɪ d	hide	hid	⋊ h a ɪ d ⋉	⋊ h ɪ d ⋉
202	p l eɪ s	p l eɪ s t	place	placed	⋊ p l e s ⋉	⋊ p l e s t ⋉
203	k l eɪ m	k l eɪ m d	claim	claimed	⋊ k l e m ⋉	⋊ k l e m d ⋉
204	h ɪ t	h ɪ t	hit		⋊ h ɪ t ⋉	⋊ h ɪ t ⋉
205	p ɹ ɪ z ɛ n t	p ɹ ɪ z ɛ n t ə d	present	presented	⋊ p ɹ ɪ z ɛ n t ⋉	⋊ p ɹ ɪ z ɛ n t ɪ d ⋉
206	t ɹ i t	t ɹ i t ə d	treat	treated	⋊ t ɹ i t ⋉	⋊ t ɹ i t ɪ d ⋉
207	ə d m ɪ t	ə d m ɪ t ə d	admit	admitted	⋊ ə d m ɪ t ⋉	⋊ ə d m ɪ t ɪ d ⋉
208	w ɚ i	w ɚ i d	worry	worried	⋊ w ɛ ɹ i ⋉	⋊ w ɛ ɹ i d ⋉
209	f l aɪ	f l u	fly	flew	⋊ f l a ɪ ⋉	⋊ f l u ⋉
210	m eɪ n t eɪ n	m eɪ n t eɪ n d	maintain	maintained	⋊ m e n t e n ⋉	⋊ m e n t e n d ⋉
211	t ɹ æ v ə l	t ɹ æ v ə l d	travel	travelled	⋊ t ɹ ɑ v ə l ⋉	⋊ t ɹ ɑ v ə l d ⋉
212	ɪ m p ɹ u v	ɪ m p ɹ u v d	improve	improved	⋊ ɪ m p ɹ u v ⋉	⋊ ɪ m p ɹ u v d ⋉
213	s t ɪ k	s t ʌ k	stick	stuck	⋊ s t ɪ k ⋉	⋊ s t ʌ k ⋉
214	p ɹ ɪ v ɛ n t	p ɹ ɪ v ɛ n t ə d	prevent	prevented	⋊ p ɹ ɪ v ɛ n t ⋉	⋊ p ɹ ɪ v ɛ n t ɪ d ⋉
215	w ɔ ʃ	w ɔ ʃ t	wash	washed	⋊ w ɔ ʃ ⋉	⋊ w ɔ ʃ t ⋉
