rule_idx	rule	rule_regex	hits	scope	confidence	accuracy10.0	accuracy5.0
25308	∅ -> ɪ d / X [+C/V, -syllabic, +consonantal, +sonorant, +voice, -spread.gl, -round, -labiodental, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (n|m|l) (t) __ (⋉)	148.0	149.0	0.988973943230006	0.9308176100628932	0.961038961038961
6815	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, -front, -tense] __ [-begin/end]	∅ -> d / (ʌ|ɔ|ə|ʊ) __ (⋉)	536.0	553.0	0.9674765061525128	0.9520426287744228	0.9605734767025088
3922	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -front] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ) (k) __ (⋉)	143.0	144.0	0.9885937327403655	0.9285714285714286	0.959731543624161
12660	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, -tense] __ [-begin/end]	∅ -> d / (ʌ|ɔ|ə|ɛ|ʊ|ɪ) __ (⋉)	757.0	784.0	0.9641427375144344	0.9534005037783376	0.9594423320659062
20261	∅ -> d / X [+C/V, -syllabic, +consonantal, +sonorant, +voice, -spread.gl, -round, -labiodental, -DORSAL] __ [-begin/end]	∅ -> d / (n|m|l) __ (⋉)	1094.0	1136.0	0.961913554196978	0.9546247818499128	0.9588080631025416
10470	∅ -> d / X [-nasal, +voice, -spread.gl, -round, -labiodental, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|g|b|j) __ (⋉)	909.0	944.0	0.9616559756587856	0.9528301886792452	0.9578503688092728
12962	∅ -> d / X [+C/V, -syllabic, +consonantal, -continuant, -approximant, +voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (m|b) __ (⋉)	223.0	228.0	0.974706961343464	0.9369747899159664	0.9570815450643776
21572	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|l|ʒ|z|ð|w|j|ɹ) __ (⋉)	2032.0	2120.0	0.9577286007035796	0.9539906103286384	0.9562352941176472
15357	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -round] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|l|ʒ|z|v|ð|j|ɹ) __ (⋉)	1945.0	2030.0	0.9573423708051144	0.9534313725490196	0.9557739557739556
2882	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -CORONAL, -lateral, -DORSAL] __ [-begin/end]	∅ -> t / (p|f) __ (⋉)	278.0	286.0	0.9691224762972384	0.9391891891891893	0.9553264604810996
23583	∅ -> ɪ d / X [+C/V, -syllabic, +consonantal, -spread.gl, -round] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð) (t) __ (⋉)	365.0	378.0	0.9631812217922636	0.940721649484536	0.9530026109660574
18322	∅ -> d / X [+sonorant, +voice, -spread.gl, -round, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|ŋ|n|m|l|j|ɹ) __ (⋉)	1898.0	1988.0	0.953912335240325	0.94994994994995	0.9523331660812844
29526	∅ -> ɪ d / X [+sonorant, +voice, -spread.gl, -labiodental] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|n|m|l|w|j|ɹ) (t) __ (⋉)	1068.0	1117.0	0.9549508981696708	0.9476486246672582	0.9518716577540108
23828	∅ -> ɪ d / X [-spread.gl] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|w|j|ɹ) (t) __ (⋉)	1285.0	1346.0	0.953627883744807	0.9476401179941004	0.9511472982975574
15001	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|l|ʒ|z|v|ð|w|j|ɹ) __ (⋉)	2123.0	2231.0	0.9508166884412002	0.9473449352967426	0.949463327370304
8209	∅ -> d / X [+voice, -spread.gl, -round, -labiodental, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|ŋ|m|g|b|j) __ (⋉)	1092.0	1146.0	0.9516948807001768	0.944636678200692	0.94874022589053
26520	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -front, +back] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ɑ|ʌ|ɔ|o|u|ʊ) (d) __ (⋉)	88.0	88.0	0.9933778813531712	0.8979591836734694	0.946236559139785
20223	∅ -> d / X [+sonorant, +voice, -spread.gl, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|n|m|l|w|j|ɹ) __ (⋉)	2076.0	2189.0	0.9475780608819556	0.9440654843110504	0.9462169553327257
8173	∅ -> d / X [-nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|g|b|w|j) __ (⋉)	1087.0	1145.0	0.9481353502910814	0.9411255411255413	0.9452173913043478
16646	∅ -> d / X [-nasal, +voice, -spread.gl, -round, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|g|v|b|j) __ (⋉)	1000.0	1055.0	0.9465796641289714	0.9389671361502347	0.9433962264150944
29517	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -front] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ) (d) __ (⋉)	100.0	101.0	0.9837851759960656	0.9009009009009008	0.9433962264150944
7342	∅ -> d / X [+voice, -spread.gl, -labiodental, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|m|g|b|w|j) __ (⋉)	1270.0	1347.0	0.9417102535414092	0.9358879882092852	0.9393491124260356
21028	∅ -> d / X [+voice, -spread.gl, -round, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|ŋ|m|g|v|b|j) __ (⋉)	1183.0	1257.0	0.939942249306745	0.9337016574585636	0.9374009508716324
3945	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (ʌ|ɔ|ə|ɛ|ʊ|ɪ) (k) __ (⋉)	117.0	120.0	0.96914771829346	0.9	0.936
19768	∅ -> d / X [-nasal, +voice, -spread.gl, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|g|v|b|w|j) __ (⋉)	1178.0	1256.0	0.9366915796464104	0.9304897314375988	0.9341792228390168
20779	∅ -> d / X [+voice, -spread.gl, -CORONAL, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|m|g|v|b|w|j) __ (⋉)	1361.0	1458.0	0.9323514392522246	0.9271117166212534	0.9302802460697196
2801	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -round, -CORONAL, -lateral] __ [-begin/end]	∅ -> t / (k|p|f) __ (⋉)	548.0	586.0	0.9331266179600765	0.9194630872483222	0.9272419627749576
28903	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (d) __ (⋉)	125.0	130.0	0.9558005568670204	0.8928571428571429	0.925925925925926
24960	∅ -> ɪ d / X [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (t|d) __ (⋉)	1583.0	1708.0	0.9257719907500608	0.9214202561117578	0.9241097489784004
17513	∅ -> d / X [+voice, -spread.gl, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|n|m|l|g|ʒ|z|d|b|ð|w|j|ɹ) __ (⋉)	2733.0	3218.0	0.8483839401301287	0.8466542750929368	0.8479677319267763
8417	∅ -> d / X [+voice, -spread.gl] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|n|m|l|g|ʒ|z|v|d|b|ð|w|j|ɹ) __ (⋉)	2824.0	3329.0	0.8474166332241794	0.8457622042527703	0.8470305938812237
30049	i -> ɛ / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] [-begin/end]	i -> ɛ / (l|ɹ) __ (d) (⋉)	12.0	13.0	0.8818471272504359	0.5217391304347826	0.6666666666666666
31	∅ -> ∅ / X [+C/V, -syllabic, +consonantal, +continuant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ∅ / (l|z|s) (ɛ) (t) __ (⋉)	10.0	11.0	0.8621476497621283	0.4761904761904761	0.625
108	∅ -> ∅ / X [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, +back] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ∅ / (k) (ɑ) (s) (t) __ (⋉)	7.0	7.0	0.9255078056777428	0.4117647058823529	0.5833333333333334
30439	e -> ʊ / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] [-begin/end]	e -> ʊ / (t|ʃ|s|θ) __ (k) (⋉)	8.0	10.0	0.7555984629626129	0.4	0.5333333333333333
30537	i p -> ɛ p t / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental] __ [-begin/end]	i p -> ɛ p t / (l|w|j|ɹ) __ (⋉)	7.0	9.0	0.731278367963008	0.3684210526315789	0.5
30346	ɪ -> ʊ / X [+C/V, -syllabic, -nasal, -spread.gl, -lateral] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, -back] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] [-begin/end]	ɪ -> ʊ / (k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|w|j|ɹ) (a) __ (n) (d) (⋉)	6.0	7.0	0.793163167681256	0.3529411764705882	0.5
30245	a ɪ -> o / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -DORSAL] [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, +voice, -spread.gl, -round, -lateral, -DORSAL] X	a ɪ -> o / (ʒ|z|t|ʃ|s|d|θ|ð) (ɹ) __ (ʒ|z|v|d|b|ð)	8.0	11.0	0.6906694674772743	0.3809523809523809	0.5
30585	ɛ ə -> ɔ / X [+C/V, -syllabic, -nasal, +voice, -spread.gl, +LABIAL, -labiodental, -CORONAL, -lateral] __ [-begin/end]	ɛ ə -> ɔ / (b|w) __ (⋉)	7.0	9.0	0.731278367963008	0.3684210526315789	0.5
98	∅ -> ∅ / X [+C/V, -syllabic, +consonantal, -nasal, -spread.gl, -round, -labiodental, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ∅ / (l|ʒ|z|t|ʃ|s|p|d|b|θ|ð) (ɛ) (t) __ (⋉)	11.0	17.0	0.6240157797316391	0.4074074074074074	0.5
30204	a ɪ -> o / X [+C/V, -syllabic, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -lateral, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, +LABIAL, -round, +labiodental, -CORONAL, -lateral, -DORSAL] [-begin/end]	a ɪ -> o / (d|ð|ɹ) __ (v) (⋉)	9.0	13.0	0.6619466695793516	0.391304347826087	0.5
30383	ɪ -> ʌ / X [+C/V, -syllabic, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] [-begin/end]	ɪ -> ʌ / (l|w|j|ɹ) __ (ŋ) (⋉)	8.0	12.0	0.6361856882322429	0.3636363636363636	0.4705882352941176
30430	ɪ -> ʌ / X [+C/V, -syllabic, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -DORSAL] __ [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] [-begin/end]	ɪ -> ʌ / (l|t|d|θ|ð|ɹ) __ (ŋ) (⋉)	8.0	12.0	0.6361856882322429	0.3636363636363636	0.4705882352941176
30242	a ɪ -> o / X [-nasal, -spread.gl, -LABIAL, -round, -labiodental, -lateral] [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, -DORSAL] __ [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] X	a ɪ -> o / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|k|g|ʒ|z|t|ʃ|s|d|θ|ð|j|ɹ) (ɹ) __ (t|d)	6.0	8.0	0.7015893548970299	0.3333333333333333	0.4615384615384615
30602	ɛ l -> o l d / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -lateral, -DORSAL] __ [-begin/end]	ɛ l -> o l d / (t|s) __ (⋉)	6.0	8.0	0.7015893548970299	0.3333333333333333	0.4615384615384615
