stem	output	model_rating	rule_idx	wordform1	wordform2
⋊ ɛː r ə n ⋉	⋊ ɛː r ə n ⋉	0.02522639044495635	19209.0	ɛː r ə n	ɡ ə ɛː r ə n
⋊ ɛ r b ɪ ŋ ə n ⋉	⋊ ɛ r b e ŋ ə n ⋉			ɛ r b ɪ ŋ ə n	ɛ r b e ŋ ə n
⋊ ɛ r b ɪ ŋ ə n ⋉	⋊ ɛ r b ʊ ŋ ə n ⋉	0.28278369228754324	11022.0	ɛ r b ɪ ŋ ə n	ɛ r b ʊ ŋ ə n
⋊ ɛ r eː t ə n ⋉	⋊ ɛ r eː t ə t ⋉	0.5611202431021053	8565.0	ɛ r eː t ə n	ɛ r eː t ə t
⋊ ɛ r eː t ə n ⋉	⋊ ɛ r oː t ə n ⋉			ɛ r eː t ə n	ɛ r oː t ə n
⋊ ɛ r l uː d ə n ⋉	⋊ ɛ r l uː d ə t ⋉	0.8795102700976709	2662.0	ɛ r l uː d ə n	ɛ r l uː d ə t
⋊ ɛ r l uː d ə n ⋉	⋊ ɛ r l uː d ə n ⋉	0.04200050685019099	15842.0	ɛ r l uː d ə n	ɛ r l uː d ə n
⋊ ɛ r t ɪ ŋ ə n ⋉	⋊ ɛ r t ʊ ŋ ə n ⋉	0.15563280980217048	12093.0	ɛ r t ɪ ŋ ə n	ɛ r t ʊ ŋ ə n
⋊ ɛ r t ɪ ŋ ə n ⋉	⋊ ɛ r t ɪ ŋ t ⋉	0.7609943652161982	6243.0	ɛ r t ɪ ŋ ə n	ɛ r t ɪ ŋ t
⋊ ɛ r z a i ə n ⋉	⋊ ɛ r z a i n ⋉	0.01888021421963113	21136.0	ɛ r z ai̯ ə n	ɛ r z ai̯ n
⋊ ɛ r z a i ə n ⋉	⋊ ɛ r z ɔ n ə n ⋉			ɛ r z ai̯ ə n	ɛ r z ɔ n ə n
⋊ ɛ r z a u ə n ⋉	⋊ ɛ r z ɔ t ə n ⋉			ɛ r z au̯ ə n	ɛ r z ɔ t ə n
⋊ ɛ r z a u ə n ⋉	⋊ ɛ r z a u n ⋉	0.01888021421963113	21136.0	ɛ r z au̯ ə n	ɛ r z au̯ n
⋊ ɛ r z ɪ ŋ ə n ⋉	⋊ ɛ r z ʊ ŋ ə n ⋉	0.20509159545714603	11655.0	ɛ r z ɪ ŋ ə n	ɛ r z ʊ ŋ ə n
⋊ ɛ r z ɪ ŋ ə n ⋉	⋊ ɛ r z e ŋ ə n ⋉			ɛ r z ɪ ŋ ə n	ɛ r z e ŋ ə n
⋊ f a i x ə n ⋉	⋊ f a i x t ⋉	0.6538247311243649	7591.0	f ai̯ x ə n	ɡ ə f ai̯ x t
⋊ f a i x ə n ⋉	⋊ f ɪ x ə n ⋉			f ai̯ x ə n	ɡ ə f ɪ x ə n
⋊ f a u ə n ⋉	⋊ f a u t ⋉	0.8456014512148586	4002.0	f au̯ ə n	ɡ ə f au̯ t
⋊ f a u ə n ⋉	⋊ f a u n ⋉	0.01888021421963113	21136.0	f au̯ ə n	ɡ ə f au̯ n
⋊ f a u f ə n ⋉	⋊ f a u f t ⋉	0.6588543512364848	7581.0	f au̯ f ə n	ɡ ə f au̯ f t
⋊ f a u f ə n ⋉	⋊ f ɔ f ə n ⋉			f au̯ f ə n	ɡ ə f ɔ f ə n
⋊ f eː ə n ⋉	⋊ f eː t ⋉	0.763432245921466	6223.0	f eːə n	ɡ ə f eː t
⋊ f eː ə n ⋉	⋊ f eː n ⋉	0.01888021421963113	21136.0	f eːə n	ɡ ə f eː n
⋊ f eː r ə n ⋉	⋊ f eː r t ⋉	0.9688583098170344	1275.0	f eː r ə n	ɡ ə f eː r t
⋊ f eː r ə n ⋉	⋊ f oː r ə n ⋉			f eː r ə n	ɡ ə f oː r ə n
⋊ f ɛ r a i ə n ⋉	⋊ f ɛ r a i t ⋉	0.8663704479491715	3117.0	f ɛ r ai̯ ə n	f ɛ r ai̯ t
⋊ f ɛ r a i ə n ⋉	⋊ f ɛ r a i t ⋉	0.8663704479491715	3117.0	f ɛ r ai̯ ə n	ɡ ə f ɛ r ai̯ t
⋊ f ɛ r h eː ə n ⋉	⋊ f ɛ r h oː n ⋉			f ɛ r h eːə n	f ɛ r h oː n
⋊ f ɛ r h eː ə n ⋉	⋊ f ɛ r h eː t ⋉	0.763432245921466	6223.0	f ɛ r h eːə n	f ɛ r h eː t
⋊ f ɛ r z aː ə n ⋉	⋊ f ɛ r z aː n ⋉			f ɛ r z aː ə n	f ɛ r z aː n
⋊ f ɛ r z aː ə n ⋉	⋊ f ɛ r z aː t ⋉	0.763432245921466	6223.0	f ɛ r z aː ə n	f ɛ r z aː t
⋊ f iː ə n ⋉	⋊ f iː t ⋉	0.763432245921466	6223.0	f iːə n	ɡ ə f iː t
⋊ f iː ə n ⋉	⋊ f oː t ⋉			f iːə n	ɡ ə f oː t
⋊ f ɪ ŋ ə n ⋉	⋊ f ʊ ŋ ə n ⋉	0.23900164783929503	11304.0	f ɪ ŋ ə n	ɡ ə f ʊ ŋ ə n
⋊ f ɪ ŋ ə n ⋉	⋊ f ɪ ŋ t ⋉	0.7609943652161982	6243.0	f ɪ ŋ ə n	ɡ ə f ɪ ŋ t
⋊ f l a i ə n ⋉	⋊ f l iː n ⋉	0.43896999223328503	9839.0	f l ai̯ ə n	ɡ ə f l iː n
⋊ f l a i ə n ⋉	⋊ f l a i t ⋉	0.8663704479491715	3117.0	f l ai̯ ə n	ɡ ə f l ai̯ t
⋊ f l eː t ə n ⋉	⋊ f l eː t ə t ⋉	0.5611202431021053	8565.0	f l eː t ə n	ɡ ə f l eː t ə t
⋊ f l eː t ə n ⋉	⋊ f l oː t ə n ⋉			f l eː t ə n	ɡ ə f l oː t ə n
⋊ f r a i t ə n ⋉	⋊ f r a i t ə t ⋉	0.6324553057426875	7690.0	f r ai̯ t ə n	ɡ ə f r ai̯ t ə t
⋊ f r a i t ə n ⋉	⋊ f r ɪ t ə n ⋉	0.350163420803941	10511.0	f r ai̯ t ə n	ɡ ə f r ɪ t ə n
⋊ f r eː t ə n ⋉	⋊ f r eː t ə n ⋉	0.2320238077547728	11366.0	f r eː t ə n	ɡ ə f r eː t ə n
⋊ f r eː t ə n ⋉	⋊ f r oː t ə n ⋉			f r eː t ə n	ɡ ə f r oː t ə n
⋊ f r ɛ n d ə n ⋉	⋊ f r ɛ n d ə t ⋉	0.5075916449468018	9101.0	f r ɛ n d ə n	ɡ ə f r ɛ n d ə t
⋊ f r ɛ n d ə n ⋉	⋊ f r a n d ə t ⋉			f r ɛ n d ə n	ɡ ə f r a n d ə t
⋊ f r ɛ s t ə n ⋉	⋊ f r ɛ s t ə t ⋉	0.7240838608479855	6603.0	f r ɛ s t ə n	ɡ ə f r ɛ s t ə t
⋊ f r ɛ s t ə n ⋉	⋊ f r ɔ s t ə n ⋉	0.16322100999611025	12037.0	f r ɛ s t ə n	ɡ ə f r ɔ s t ə n
⋊ f r ɪ ŋ ə n ⋉	⋊ f r ʊ ŋ ə n ⋉	0.18806231211089217	11802.0	f r ɪ ŋ ə n	ɡ ə f r ʊ ŋ ə n
⋊ f r ɪ ŋ ə n ⋉	⋊ f r ɔ ŋ ə n ⋉			f r ɪ ŋ ə n	ɡ ə f r ɔ ŋ ə n
⋊ f r uː t ə n ⋉	⋊ f r uː t ə t ⋉	0.7079737592607558	6874.0	f r uː t ə n	ɡ ə f r uː t ə t
⋊ f r uː t ə n ⋉	⋊ f r uː t ə n ⋉	0.042413708355345615	15790.0	f r uː t ə n	ɡ ə f r uː t ə n
⋊ h a i ə n ⋉	⋊ h iː n ⋉			h ai̯ ə n	ɡ ə h iː n
⋊ h a i ə n ⋉	⋊ h a i n ⋉	0.01888021421963113	21136.0	h ai̯ ə n	ɡ ə h ai̯ n
⋊ h a i f ə n ⋉	⋊ h a i f t ⋉	0.6588543512364848	7581.0	h ai̯ f ə n	ɡ ə h ai̯ f t
⋊ h a i f ə n ⋉	⋊ h iː f ə n ⋉			h ai̯ f ə n	ɡ ə h iː f ə n
⋊ h a k s ə n ⋉	⋊ h a k s t ⋉	0.7110605343673823	6860.0	h a k s ə n	ɡ ə h a k s t
⋊ h a k s ə n ⋉	⋊ h a k s ə n ⋉	0.13370198050410348	12319.0	h a k s ə n	ɡ ə h a k s ə n
⋊ h a u b ə n ⋉	⋊ h a u p t ⋉	0.6773114561770316	7142.0	h au̯ b ə n	ɡ ə h au̯ p t
⋊ h a u b ə n ⋉	⋊ h a u b ə n ⋉	0.0461786779722606	15384.0	h au̯ b ə n	ɡ ə h au̯ b ə n
⋊ h a u f ə n ⋉	⋊ h a u f t ⋉	0.6588543512364848	7581.0	h au̯ f ə n	ɡ ə h au̯ f t
⋊ h a u f ə n ⋉	⋊ h iː f ə n ⋉			h au̯ f ə n	ɡ ə h iː f ə n
⋊ h eː n ə n ⋉	⋊ h eː n t ⋉	0.8154089183855899	4217.0	h eː n ə n	ɡ ə h eː n t
⋊ h eː n ə n ⋉	⋊ h eː n t ⋉	0.8154089183855899	4217.0	h eː n ə n	ɡ ə h eː n t
⋊ h eː n ə n ⋉	⋊ h oː n ə n ⋉			h eː n ə n	ɡ ə h oː n ə n
⋊ h eː n ə n ⋉	⋊ h oː n ə n ⋉			h eː n ə n	ɡ ə h oː n ə n
⋊ h eː r ə n ⋉	⋊ h eː r t ⋉	0.9688583098170344	1275.0	h eː r ə n	ɡ ə h eː r t
⋊ h eː r ə n ⋉	⋊ h oː r ə n ⋉			h eː r ə n	ɡ ə h oː r ə n
⋊ h ɛ l ə n ⋉	⋊ h ɛ l t ⋉	0.8795102700976709	2715.0	h ɛ l ə n	ɡ ə h ɛ l t
⋊ h ɛ l ə n ⋉	⋊ h ɔ l ə n ⋉	0.1424337694689724	12213.0	h ɛ l ə n	ɡ ə h ɔ l ə n
⋊ h iː ə n ⋉	⋊ h oː n ⋉			h iːə n	ɡ ə h oː n
⋊ h iː ə n ⋉	⋊ h iː t ⋉	0.763432245921466	6223.0	h iːə n	ɡ ə h iː t
⋊ h iː t ə n ⋉	⋊ h iː t ə t ⋉	0.5611202431021053	8565.0	h iː t ə n	ɡ ə h iː t ə t
⋊ h iː t ə n ⋉	⋊ h oː t ə n ⋉			h iː t ə n	ɡ ə h oː t ə n
⋊ h ɔ l ə n ⋉	⋊ h ɔ l t ⋉	0.8026553808099589	4275.0	h ɔ l ə n	ɡ ə h ɔ l t
⋊ h ɔ l ə n ⋉	⋊ h ɔ l ə n ⋉	0.05552534483781792	14584.0	h ɔ l ə n	ɡ ə h ɔ l ə n
⋊ j a i d ə n ⋉	⋊ j a i d ə t ⋉	0.5867264995521027	8150.0	j ai̯ d ə n	ɡ ə j ai̯ d ə t
⋊ j a i d ə n ⋉	⋊ j iː d ə n ⋉			j ai̯ d ə n	ɡ ə j iː d ə n
⋊ j a i ə n ⋉	⋊ j a i t ⋉	0.8663704479491715	3117.0	j ai̯ ə n	ɡ ə j ai̯ t
⋊ j a i ə n ⋉	⋊ j a i n ⋉	0.01888021421963113	21136.0	j ai̯ ə n	ɡ ə j ai̯ n
⋊ j a i f ə n ⋉	⋊ j a i f t ⋉	0.6588543512364848	7581.0	j ai̯ f ə n	ɡ ə j ai̯ f t
⋊ j a i f ə n ⋉	⋊ j iː f ə n ⋉			j ai̯ f ə n	ɡ ə j iː f ə n
⋊ j a u ə n ⋉	⋊ j a u t ⋉	0.8456014512148586	4002.0	j au̯ ə n	ɡ ə j au̯ t
⋊ j a u ə n ⋉	⋊ j a u n ⋉	0.01888021421963113	21136.0	j au̯ ə n	ɡ ə j au̯ n
⋊ j a u f ə n ⋉	⋊ j a u f t ⋉	0.6588543512364848	7581.0	j au̯ f ə n	ɡ ə j au̯ f t
⋊ j a u f ə n ⋉	⋊ j ɔ f ə n ⋉			j au̯ f ə n	ɡ ə j ɔ f ə n
⋊ j eː ə n ⋉	⋊ j eː t ⋉	0.763432245921466	6223.0	j eːə n	ɡ ə j eː t
⋊ j eː ə n ⋉	⋊ j eː n ⋉	0.01888021421963113	21136.0	j eːə n	ɡ ə j eː n
⋊ j iː ə n ⋉	⋊ j iː t ⋉	0.763432245921466	6223.0	j iːə n	ɡ ə j iː t
⋊ j iː ə n ⋉	⋊ j oː n ⋉			j iːə n	ɡ ə j oː n
⋊ j ɪ ŋ ə n ⋉	⋊ j ʊ ŋ ə n ⋉			j ɪ ŋ ə n	ɡ ə j ʊ ŋ ə n
⋊ j ɪ ŋ ə n ⋉	⋊ j ɪ ŋ t ⋉	0.7609943652161982	6243.0	j ɪ ŋ ə n	ɡ ə j ɪ ŋ t
⋊ k a i ə n ⋉	⋊ k a i t ⋉	0.8663704479491715	3117.0	k ai̯ ə n	ɡ ə k ai̯ t
⋊ k a i ə n ⋉	⋊ k a i n ⋉	0.01888021421963113	21136.0	k ai̯ ə n	ɡ ə k ai̯ n
⋊ k a l ə n ⋉	⋊ k a l t ⋉	0.8026553808099589	4275.0	k a l ə n	ɡ ə k a l t
⋊ k a l ə n ⋉	⋊ k a u l t ⋉			k a l ə n	ɡ ə k au̯ l t
⋊ k ɛ n d ə n ⋉	⋊ k a n d ə t ⋉			k ɛ n d ə n	ɡ ə k a n d ə t
⋊ k ɛ n d ə n ⋉	⋊ k ɛ n d ə t ⋉	0.5075916449468018	9101.0	k ɛ n d ə n	ɡ ə k ɛ n d ə t
⋊ k ɪ ŋ ə n ⋉	⋊ k ʊ ŋ ə n ⋉			k ɪ ŋ ə n	ɡ ə k ʊ ŋ ə n
⋊ k ɪ ŋ ə n ⋉	⋊ k ɪ ŋ t ⋉	0.7609943652161982	6243.0	k ɪ ŋ ə n	ɡ ə k ɪ ŋ t
⋊ k r ɪ ŋ ə n ⋉	⋊ k r ʊ ŋ ə n ⋉	0.18806231211089217	11802.0	k r ɪ ŋ ə n	ɡ ə k r ʊ ŋ ə n
⋊ k r ɪ ŋ ə n ⋉	⋊ k r ɔ ŋ ə n ⋉			k r ɪ ŋ ə n	ɡ ə k r ɔ ŋ ə n
⋊ l a i f ə n ⋉	⋊ l iː f ə n ⋉			l ai̯ f ə n	ɡ ə l iː f ə n
⋊ l a i f ə n ⋉	⋊ l a i f t ⋉	0.6588543512364848	7581.0	l ai̯ f ə n	ɡ ə l ai̯ f t
⋊ l a u ə n ⋉	⋊ l a u t ⋉	0.8456014512148586	4002.0	l au̯ ə n	ɡ ə l au̯ t
⋊ l a u ə n ⋉	⋊ l a u n ⋉	0.01888021421963113	21136.0	l au̯ ə n	ɡ ə l au̯ n
⋊ m a u ə n ⋉	⋊ m a u t ⋉	0.8456014512148586	4002.0	m au̯ ə n	ɡ ə m au̯ t
⋊ m a u ə n ⋉	⋊ m a u n ⋉	0.01888021421963113	21136.0	m au̯ ə n	ɡ ə m au̯ n
⋊ m iː ə n ⋉	⋊ m iː t ⋉	0.763432245921466	6223.0	m iːə n	ɡ ə m iː t
⋊ m iː ə n ⋉	⋊ m oː t ⋉			m iːə n	ɡ ə m oː t
⋊ m ɔ l ə n ⋉	⋊ m ɔ l t ⋉	0.8026553808099589	4275.0	m ɔ l ə n	ɡ ə m ɔ l t
⋊ m ɔ l ə n ⋉	⋊ m ɔ l ə n ⋉	0.05552534483781792	14584.0	m ɔ l ə n	ɡ ə m ɔ l ə n
⋊ n a i ə n ⋉	⋊ n a i t ⋉	0.8663704479491715	3117.0	n ai̯ ə n	ɡ ə n ai̯ t
⋊ n a i ə n ⋉	⋊ n ɪ t ⋉			n ai̯ ə n	ɡ ə n ɪ t
⋊ n eː z ə n ⋉	⋊ n eː z ə n ⋉	0.32805768789036316	10693.0	n eː z ə n	ɡ ə n eː z ə n
⋊ n eː z ə n ⋉	⋊ n aː z ə n ⋉			n eː z ə n	ɡ ə n aː z ə n
⋊ ɔ l ə n ⋉	⋊ ɔ l t ⋉	0.8026553808099589	4275.0	ɔ l ə n	ɡ ə ɔ l t
⋊ ɔ l ə n ⋉	⋊ ɔ l ə n ⋉	0.05552534483781792	14584.0	ɔ l ə n	ɡ ə ɔ l ə n
⋊ p a u ə n ⋉	⋊ p a u t ⋉	0.8456014512148586	4002.0	p au̯ ə n	ɡ ə p au̯ t
⋊ p a u ə n ⋉	⋊ p a u n ⋉	0.01888021421963113	21136.0	p au̯ ə n	ɡ ə p au̯ n
⋊ p iː ə n ⋉	⋊ p iː t ⋉	0.763432245921466	6223.0	p iːə n	ɡ ə p iː t
⋊ p iː ə n ⋉	⋊ p oː n ⋉			p iːə n	ɡ ə p oː n
⋊ r aː b ə n ⋉	⋊ r aː p t ⋉	0.4382853513385512	9848.0	r aː b ə n	ɡ ə r aː p t
⋊ r aː b ə n ⋉	⋊ r aː b ə n ⋉	0.1087126984052078	12713.0	r aː b ə n	ɡ ə r aː b ə n
⋊ r a i d ə n ⋉	⋊ r a i d ə t ⋉	0.5867264995521027	8150.0	r ai̯ d ə n	ɡ ə r ai̯ d ə t
⋊ r a i d ə n ⋉	⋊ r iː d ə n ⋉	0.24778168975803933	11248.0	r ai̯ d ə n	ɡ ə r iː d ə n
⋊ r a s ə n ⋉	⋊ r a s t ⋉	0.7110605343673823	6860.0	r a s ə n	ɡ ə r a s t
⋊ r a s ə n ⋉	⋊ r a s ə n ⋉	0.11760058070193821	12531.0	r a s ə n	ɡ ə r a s ə n
⋊ r eː b ə n ⋉	⋊ r eː p t ⋉	0.5852723921831766	8340.0	r eː b ə n	ɡ ə r eː p t
⋊ r eː b ə n ⋉	⋊ r eː b ə n ⋉	0.1087126984052078	12713.0	r eː b ə n	ɡ ə r eː b ə n
⋊ r ɛː ə n ⋉	⋊ r ɛː t ⋉	0.763432245921466	6223.0	r ɛːə n	ɡ ə r ɛː t
⋊ r ɛː ə n ⋉	⋊ r ɛː t ə n ⋉			r ɛːə n	ɡ ə r ɛː t ə n
⋊ r ɛ s ə n ⋉	⋊ r ɛ s ə n ⋉	0.1634679024806957	12025.0	r ɛ s ə n	ɡ ə r ɛ s ə n
⋊ r ɛ s ə n ⋉	⋊ r ɛ s t ⋉	0.7110605343673823	6860.0	r ɛ s ə n	ɡ ə r ɛ s t
⋊ r øː ə n ⋉	⋊ r øː t ⋉	0.7635729812512861	6133.0	r øː ə n	ɡ ə r øː t
⋊ r øː ə n ⋉	⋊ r øː t ə n ⋉			r øː ə n	ɡ ə r øː t ə n
⋊ r uː t ə n ⋉	⋊ r uː t ə t ⋉	0.7079737592607558	6874.0	r uː t ə n	ɡ ə r uː t ə t
⋊ r uː t ə n ⋉	⋊ r uː t ə n ⋉	0.042413708355345615	15790.0	r uː t ə n	ɡ ə r uː t ə n
⋊ ʃ a i ə n ⋉	⋊ ʃ iː n ⋉	0.43896999223328503	9839.0	ʃ ai̯ ə n	ɡ ə ʃ iː n
⋊ ʃ a i ə n ⋉	⋊ ʃ a i n ⋉	0.01888021421963113	21136.0	ʃ ai̯ ə n	ɡ ə ʃ ai̯ n
⋊ ʃ ɛː r ə n ⋉	⋊ ʃ ɛː r t ⋉	0.9653962686131645	1311.0	ʃ ɛː r ə n	ɡ ə ʃ ɛː r t
⋊ ʃ ɛː r ə n ⋉	⋊ ʃ oː r ə n ⋉			ʃ ɛː r ə n	ɡ ə ʃ oː r ə n
⋊ ʃ ɛ l t s ə n ⋉	⋊ ʃ ɛ l t s t ⋉	0.7110605343673823	6860.0	ʃ ɛ l t s ə n	ɡ ə ʃ ɛ l t s t
