stem	output	model_rating	rule_idx	wordform1	wordform2	morphosyn	human_rating
⋊ s k w ɪ l ⋉	⋊ s k w ɪ l d ⋉	0.9872549942715148	14540.0	s k w ɪ l	s k w ɪ l d	V;PST;1;SG	5.92
⋊ s k w ɪ l ⋉	⋊ s k w ɪ l t ⋉	0.3301168446951798	2766.0	s k w ɪ l	s k w ɪ l t	V;PST;1;SG	5.21
⋊ k a ɪ v ⋉	⋊ k a ɪ v d ⋉	0.97762032899508	17101.0	k aɪ v	k aɪ v d	V;PST;1;SG	6.0
⋊ k a ɪ v ⋉	⋊ k e v ⋉			k aɪ v	k eɪ v	V;PST;1;SG	4.41
⋊ l ʌ m ⋉	⋊ l ʌ m d ⋉	0.979974588802609	12749.0	l ʌ m	l ʌ m d	V;PST;1;SG	6.35
⋊ l ʌ m ⋉	⋊ l e m ⋉			l ʌ m	l eɪ m	V;PST;1;SG	2.87
⋊ p ʌ m ⋉	⋊ p ʌ m d ⋉	0.979974588802609	12749.0	p ʌ m	p ʌ m d	V;PST;1;SG	6.17
⋊ p ʌ m ⋉	⋊ p e m ⋉			p ʌ m	p eɪ m	V;PST;1;SG	2.71
⋊ ʃ i ⋉	⋊ ʃ i d ⋉	0.9787959645165704	14474.0	ʃ i	ʃ i d	V;PST;1;SG	6.17
⋊ ʃ i ⋉	⋊ ʃ ɔ ⋉			ʃ i	ʃ ɔ	V;PST;1;SG	3.25
⋊ z e ⋉	⋊ z e d ⋉	0.9787959645165704	14474.0	z eɪ	z eɪ d	V;PST;1;SG	6.39
⋊ z e ⋉	⋊ z ɛ d ⋉			z eɪ	z ɛ d	V;PST;1;SG	4.39
⋊ t ʃ a ɪ n d ⋉	⋊ t ʃ a ɪ n d ɪ d ⋉	0.9367630806834164	3989.0	tʃ aɪ n d	tʃ aɪ n d ə d	V;PST;1;SG	3.89
⋊ t ʃ a ɪ n d ⋉	⋊ t ʃ a ʊ n d ⋉	0.8795102700976709	7923.0	tʃ aɪ n d	tʃ aʊ n d	V;PST;1;SG	4.05
⋊ f l ɛ t ⋉	⋊ f l ɛ t ɪ d ⋉	0.9799562304693278	4886.0	f l ɛ t	f l ɛ t ə d	V;PST;1;SG	4.5
⋊ f l ɛ t ⋉	⋊ f l ɛ t ⋉	0.7915953685536075	17396.0	f l ɛ t	f l ɛ t	V;PST;1;SG	5.65
⋊ g ɹ a ɪ n t ⋉	⋊ g ɹ a ɪ n t ɪ d ⋉	0.995964615255194	5722.0	g ɹ aɪ n t	g ɹ aɪ n t ə d	V;PST;1;SG	5.26
⋊ g ɹ a ɪ n t ⋉	⋊ g ɹ o n t ⋉	0.4129233150408021	17551.0	g ɹ aɪ n t	g ɹ oʊ n t	V;PST;1;SG	4.17
⋊ g ɹ a ɪ n t ⋉	⋊ g ɹ a ʊ n t ⋉			g ɹ aɪ n t	g ɹ aʊ n t	V;PST;1;SG	3.83
⋊ ɹ a ɪ n t ⋉	⋊ ɹ a ɪ n t ɪ d ⋉	0.995964615255194	5722.0	ɹ aɪ n t	ɹ aɪ n t ə d	V;PST;1;SG	5.0
⋊ ɹ a ɪ n t ⋉	⋊ ɹ o n t ⋉	0.4129233150408021	17551.0	ɹ aɪ n t	ɹ oʊ n t	V;PST;1;SG	4.29
⋊ ɹ a ɪ n t ⋉	⋊ ɹ a ʊ n t ⋉			ɹ aɪ n t	ɹ aʊ n t	V;PST;1;SG	3.71
⋊ ʃ a ɪ n t ⋉	⋊ ʃ a ɪ n t ɪ d ⋉	0.995964615255194	5722.0	ʃ aɪ n t	ʃ aɪ n t ə d	V;PST;1;SG	5.17
⋊ ʃ a ɪ n t ⋉	⋊ ʃ o n t ⋉	0.4129233150408021	17551.0	ʃ aɪ n t	ʃ oʊ n t	V;PST;1;SG	3.83
⋊ ʃ a ɪ n t ⋉	⋊ ʃ a ʊ n t ⋉			ʃ aɪ n t	ʃ aʊ n t	V;PST;1;SG	3.39
