wordform1	wordform2	morphosyn	human_rating	stem	output
t ɛ ʃ	t ɛ ʃ t	V;PST;1;SG	6.217391	⋊ t ɛ ʃ ⋉	⋊ t ɛ ʃ t ⋉
t ɛ ʃ	t a ʃ	V;PST;1;SG	3.130435	⋊ t ɛ ʃ ⋉	⋊ t a ʃ ⋉
t ɹ ɪ s k	t ɹ ɪ s k t	V;PST;1;SG	6.285714	⋊ t ɹ ɪ s k ⋉	⋊ t ɹ ɪ s k t ⋉
t ɹ ɪ s k	t ɹ æ s k	V;PST;1;SG	3.761905	⋊ t ɹ ɪ s k ⋉	⋊ t ɹ ɑ s k ⋉
t ɹ ɪ s k	t ɹ ʌ s k	V;PST;1;SG	3.62	⋊ t ɹ ɪ s k ⋉	⋊ t ɹ ʌ s k ⋉
t ʌ ŋ k	t ʌ ŋ k t	V;PST;1;SG	5.666667	⋊ t ʌ ŋ k ⋉	⋊ t ʌ ŋ k t ⋉
t ʌ ŋ k	t æ ŋ k	V;PST;1;SG	3.916667	⋊ t ʌ ŋ k ⋉	⋊ t ɑ ŋ k ⋉
w ɪ s	w ɪ s t	V;PST;1;SG	6.565217	⋊ w ɪ s ⋉	⋊ w ɪ s t ⋉
w ɪ s	w ʌ s	V;PST;1;SG	3.347826	⋊ w ɪ s ⋉	⋊ w ʌ s ⋉
g ɹ ɛ l	g ɹ ɛ l d	V;PST;1;SG	5.86	⋊ g ɹ ɛ l ⋉	⋊ g ɹ ɛ l d ⋉
g ɹ ɛ l	g ɹ ɛ l t	V;PST;1;SG	4.9	⋊ g ɹ ɛ l ⋉	⋊ g ɹ ɛ l t ⋉
m ɚ n	m ɚ n d	V;PST;1;SG	6.57	⋊ m ɛ ɹ n ⋉	⋊ m ɛ ɹ n d ⋉
m ɚ n	m ɚ n t	V;PST;1;SG	4.74	⋊ m ɛ ɹ n ⋉	⋊ m ɛ ɹ n t ⋉
s k ɔɪ l	s k ɔɪ l d	V;PST;1;SG	6.45	⋊ s k ɔ ɪ l ⋉	⋊ s k ɔ ɪ l d ⋉
s k ɔɪ l	s k ɔɪ l t	V;PST;1;SG	5.15	⋊ s k ɔ ɪ l ⋉	⋊ s k ɔ ɪ l t ⋉
ʃ ɚ n	ʃ ɚ n d	V;PST;1;SG	6.57	⋊ ʃ ɛ ɹ n ⋉	⋊ ʃ ɛ ɹ n d ⋉
ʃ ɚ n	ʃ ɚ n t	V;PST;1;SG	4.22	⋊ ʃ ɛ ɹ n ⋉	⋊ ʃ ɛ ɹ n t ⋉
s k ɛ l	s k ɛ l d	V;PST;1;SG	6.05	⋊ s k ɛ l ⋉	⋊ s k ɛ l d ⋉
s k ɛ l	s k ɛ l t	V;PST;1;SG	5.32	⋊ s k ɛ l ⋉	⋊ s k ɛ l t ⋉
s n ɛ l	s n ɛ l d	V;PST;1;SG	6.17	⋊ s n ɛ l ⋉	⋊ s n ɛ l d ⋉
s n ɛ l	s n ɛ l t	V;PST;1;SG	5.3	⋊ s n ɛ l ⋉	⋊ s n ɛ l t ⋉
s n ɛ l	s n oʊ l d	V;PST;1;SG	2.83	⋊ s n ɛ l ⋉	⋊ s n o l d ⋉
s k w ɪ l	s k w ɪ l d	V;PST;1;SG	5.92	⋊ s k w ɪ l ⋉	⋊ s k w ɪ l d ⋉
s k w ɪ l	s k w ɪ l t	V;PST;1;SG	5.21	⋊ s k w ɪ l ⋉	⋊ s k w ɪ l t ⋉
k aɪ v	k aɪ v d	V;PST;1;SG	6.0	⋊ k a ɪ v ⋉	⋊ k a ɪ v d ⋉
k aɪ v	k eɪ v	V;PST;1;SG	4.41	⋊ k a ɪ v ⋉	⋊ k e v ⋉
l ʌ m	l ʌ m d	V;PST;1;SG	6.35	⋊ l ʌ m ⋉	⋊ l ʌ m d ⋉
l ʌ m	l eɪ m	V;PST;1;SG	2.87	⋊ l ʌ m ⋉	⋊ l e m ⋉
p ʌ m	p ʌ m d	V;PST;1;SG	6.17	⋊ p ʌ m ⋉	⋊ p ʌ m d ⋉
p ʌ m	p eɪ m	V;PST;1;SG	2.71	⋊ p ʌ m ⋉	⋊ p e m ⋉
ʃ i	ʃ i d	V;PST;1;SG	6.17	⋊ ʃ i ⋉	⋊ ʃ i d ⋉
ʃ i	ʃ ɔ	V;PST;1;SG	3.25	⋊ ʃ i ⋉	⋊ ʃ ɔ ⋉
z eɪ	z eɪ d	V;PST;1;SG	6.39	⋊ z e ⋉	⋊ z e d ⋉
z eɪ	z ɛ d	V;PST;1;SG	4.39	⋊ z e ⋉	⋊ z ɛ d ⋉
tʃ aɪ n d	tʃ aɪ n d ə d	V;PST;1;SG	3.89	⋊ t ʃ a ɪ n d ⋉	⋊ t ʃ a ɪ n d ɪ d ⋉
tʃ aɪ n d	tʃ aʊ n d	V;PST;1;SG	4.05	⋊ t ʃ a ɪ n d ⋉	⋊ t ʃ a ʊ n d ⋉
f l ɛ t	f l ɛ t ə d	V;PST;1;SG	4.5	⋊ f l ɛ t ⋉	⋊ f l ɛ t ɪ d ⋉
f l ɛ t	f l ɛ t	V;PST;1;SG	5.65	⋊ f l ɛ t ⋉	⋊ f l ɛ t ⋉
g ɹ aɪ n t	g ɹ aɪ n t ə d	V;PST;1;SG	5.26	⋊ g ɹ a ɪ n t ⋉	⋊ g ɹ a ɪ n t ɪ d ⋉
g ɹ aɪ n t	g ɹ oʊ n t	V;PST;1;SG	4.17	⋊ g ɹ a ɪ n t ⋉	⋊ g ɹ o n t ⋉
g ɹ aɪ n t	g ɹ aʊ n t	V;PST;1;SG	3.83	⋊ g ɹ a ɪ n t ⋉	⋊ g ɹ a ʊ n t ⋉
ɹ aɪ n t	ɹ aɪ n t ə d	V;PST;1;SG	5.0	⋊ ɹ a ɪ n t ⋉	⋊ ɹ a ɪ n t ɪ d ⋉
ɹ aɪ n t	ɹ oʊ n t	V;PST;1;SG	4.29	⋊ ɹ a ɪ n t ⋉	⋊ ɹ o n t ⋉
ɹ aɪ n t	ɹ aʊ n t	V;PST;1;SG	3.71	⋊ ɹ a ɪ n t ⋉	⋊ ɹ a ʊ n t ⋉
ʃ aɪ n t	ʃ aɪ n t ə d	V;PST;1;SG	5.17	⋊ ʃ a ɪ n t ⋉	⋊ ʃ a ɪ n t ɪ d ⋉
ʃ aɪ n t	ʃ oʊ n t	V;PST;1;SG	3.83	⋊ ʃ a ɪ n t ⋉	⋊ ʃ o n t ⋉
ʃ aɪ n t	ʃ aʊ n t	V;PST;1;SG	3.39	⋊ ʃ a ɪ n t ⋉	⋊ ʃ a ʊ n t ⋉
