lemma	form	tag	model_rating
h aɪ n d	h aɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
h aɪ n d	h aʊ n d	V;PST;1;SG	0
h ɛ t	h ɛ t ɪ d	V;PST;1;SG	0.7568683275450017
h ɛ t	h ɛ t	V;PST;1;SG	0.23901851281134093
h w ɛ l	h w ɛ l d	V;PST;1;SG	1.244377428863084
h w ɛ l	h w ɛ l t	V;PST;1;SG	0.6062964693864062
ɪ n d	ɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
ɪ n d	ɪ n t	V;PST;1;SG	0.09595858699458996
k ɛ n d	k ɛ n d ɪ d	V;PST;1;SG	0.7270399062387007
k ɛ n d	k ɛ n t	V;PST;1;SG	0.09595858699458996
k r ɪ ŋ k	k r ɪ ŋ k t	V;PST;1;SG	1.1960414929285568
k r ɪ ŋ k	k r ʌ ŋ k	V;PST;1;SG	0.4999150983561866
l aɪ d	l aɪ d ɪ d	V;PST;1;SG	0.6952578187915557
l aɪ d	l ɪ d	V;PST;1;SG	0.3050253360052115
l aɪ n d	l aɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
l aɪ n d	l ɪ n t	V;PST;1;SG	0
l ɪ n d	l ɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
l ɪ n d	l ɪ n t	V;PST;1;SG	0.09595858699458996
m iː v	m iː v d	V;PST;1;SG	1.2270802015322027
m iː v	m ɛ f t	V;PST;1;SG	0
n ɛ n d	n ɛ n d ɪ d	V;PST;1;SG	0.6952578187915557
n ɛ n d	n ɛ n t	V;PST;1;SG	0.09595858699458996
p ɪ n d	p ɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
p ɪ n d	p ɪ n t	V;PST;1;SG	0.09595858699458996
p l ɛ t	p l ɛ t ɪ d	V;PST;1;SG	0.7568683275450017
p l ɛ t	p l ɛ t	V;PST;1;SG	1.1050637097895546
p l ɪ d	p l ɪ d ɪ d	V;PST;1;SG	0.6952578187915557
p l ɪ d	p l ɪ d	V;PST;1;SG	0.15572563426157393
p l ɪ n d	p l ɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
p l ɪ n d	p l ɪ n t	V;PST;1;SG	0.09595858699458996
p r eɪ k	p r eɪ k t	V;PST;1;SG	1.1960414929285568
p r eɪ k	p r eɪ k	V;PST;1;SG	0.030903671130700174
p r əʊ	p r əʊ d	V;PST;1;SG	1.2275752543744243
p r əʊ	p r uː	V;PST;1;SG	0.24105016855315048
p r ɛ d	p r ɛ d ɪ d	V;PST;1;SG	0.7337471409883092
p r ɛ d	p r ɛ d	V;PST;1;SG	0.4696768365217578
p r ɛ n d	p r ɛ n d ɪ d	V;PST;1;SG	0.6952578187915557
p r ɛ n d	p r ɛ n t	V;PST;1;SG	0.7545117059948949
r ɛ d	r ɛ d ɪ d	V;PST;1;SG	0.7337471409883092
r ɛ d	r ɛ d	V;PST;1;SG	0.4696768365217578
s aɪ n d	s aɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
s aɪ n d	s aʊ n d	V;PST;1;SG	1.0867515403545711
s ɪ d	s ɪ d ɪ d	V;PST;1;SG	0.6952578187915557
s ɪ d	s ɪ d	V;PST;1;SG	0.15572563426157393
s k ɑː s t	s k ɑː s t ɪ d	V;PST;1;SG	0.7432073592760391
s k ɑː s t	s k ɑː s t	V;PST;1;SG	1.186276027619652
s k ɪ k	s k ɪ k t	V;PST;1;SG	1.2422117872813783
s k ɪ k	s k ʌ k	V;PST;1;SG	0.07744767756318166
s k r aɪ v	s k r aɪ v d	V;PST;1;SG	1.2270802015322027
s k r aɪ v	s k r əʊ v	V;PST;1;SG	0.8484547195251556
s p ɑː s t	s p ɑː s t ɪ d	V;PST;1;SG	0.7432073592760391
s p ɑː s t	s p ɑː s t	V;PST;1;SG	0.43574979538755493
s p əʊ l d	s p əʊ l d ɪ d	V;PST;1;SG	0.7056664973570317
s p əʊ l d	s p əʊ l t	V;PST;1;SG	0.09595858699458996
s p ɪ n d	s p ɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
s p ɪ n d	s p ɪ n t	V;PST;1;SG	0.09595858699458996
s t aɪ d	s t aɪ d ɪ d	V;PST;1;SG	0.7142342227489196
s t aɪ d	s t ʊ d	V;PST;1;SG	0
s t r aɪ t	s t r aɪ t ɪ d	V;PST;1;SG	0.7326580850796061
s t r aɪ t	s t r əʊ t	V;PST;1;SG	1.127318368425991
s t r ɛ n d	s t r ɛ n d ɪ d	V;PST;1;SG	0.6952578187915557
s t r ɛ n d	s t r ɛ n t	V;PST;1;SG	0.7545117059948949
s t r ɪ ŋ k	s t r ɪ ŋ k t	V;PST;1;SG	1.1960414929285568
s t r ɪ ŋ k	s t r ʌ ŋ k	V;PST;1;SG	1.127318368425991
s w iː d	s w iː d ɪ d	V;PST;1;SG	0.6952578187915557
s w iː d	s w ɛ d	V;PST;1;SG	0
ʃ ɪ d	ʃ ɪ d ɪ d	V;PST;1;SG	0.6952578187915557
ʃ ɪ d	ʃ ɪ d	V;PST;1;SG	0.15572563426157393
t ɪ ŋ k	t ɪ ŋ k t	V;PST;1;SG	1.1960414929285568
t ɪ ŋ k	t ʌ ŋ k	V;PST;1;SG	0.3422449683161495
t r aɪ v	t r aɪ v d	V;PST;1;SG	1.2270802015322027
t r aɪ v	t r əʊ v	V;PST;1;SG	0.9787149470156589
t r iː m	t r iː m d	V;PST;1;SG	1.2493373854897063
t r iː m	t r ɛ m p t	V;PST;1;SG	0
t r ɪ ŋ	t r ɪ ŋ d	V;PST;1;SG	1.2226837297364699
t r ɪ ŋ	t r ʌ ŋ	V;PST;1;SG	1.127318368425991
t r ɪ ŋ k	t r ɪ ŋ k t	V;PST;1;SG	1.1960414929285568
t r ɪ ŋ k	t r ʌ ŋ k	V;PST;1;SG	1.127318368425991
w ʌ m	w ʌ m d	V;PST;1;SG	1.2493373854897063
w ʌ m	w eɪ m	V;PST;1;SG	0
θ r aɪ	θ r aɪ d	V;PST;1;SG	1.2744941150548832
θ r aɪ	θ r uː	V;PST;1;SG	0
θ r iː m	θ r iː m d	V;PST;1;SG	1.2493373854897063
θ r iː m	θ r ɛ m p t	V;PST;1;SG	0
θ r iː v	θ r iː v d	V;PST;1;SG	1.2270802015322027
θ r iː v	θ r ɛ f t	V;PST;1;SG	0.22773931855726492
